Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
145,2021,3,2,38,70000,7,82744,4,50,4,1
146,2021,2,2,48,53000,7,62649,19,50,17,1
147,2021,2,2,17,90000,16,90000,55,100,48,0
148,2021,3,2,18,153000,16,153000,55,100,48,0
149,2021,3,2,9,160000,16,160000,7,100,48,2
150,2021,3,2,25,168000,16,168000,32,0,29,2
151,2021,2,2,22,150000,16,150000,55,100,48,1
152,2021,2,2,22,95000,2,75774,8,100,6,0
153,2021,0,2,22,13400,16,13400,54,100,47,0
154,2021,3,2,21,144000,16,144000,55,100,48,0
155,2021,3,2,20,159500,2,127221,8,50,6,0
156,2021,2,2,22,160000,14,119059,50,100,24,1
157,2021,2,2,4,423000,16,423000,55,50,48,0
158,2021,3,2,15,120000,16,120000,55,100,48,1
159,2021,0,2,38,125000,16,125000,55,100,48,2
160,2021,1,2,29,230000,16,230000,49,50,43,0
161,2021,1,2,30,85000,16,85000,49,0,43,1
162,2021,2,2,17,24000,7,28369,36,50,33,0
163,2021,0,2,19,54000,7,63831,14,50,12,0
164,2021,1,2,25,110000,7,130026,14,50,12,1
165,2021,3,2,23,165000,16,165000,55,100,48,0
166,2021,0,2,17,80000,16,80000,55,100,48,0
167,2021,1,2,25,250000,16,250000,55,0,48,0
168,2021,0,2,5,55000,16,55000,55,50,48,2
169,2021,2,2,16,150000,16,150000,55,100,48,0
170,2021,2,2,16,170000,16,170000,55,100,48,0
171,2021,2,2,17,60000,8,82528,20,100,18,0
172,2021,0,2,12,60000,16,60000,55,100,48,2
173,2021,3,2,46,235000,16,235000,55,100,48,0
174,2021,3,2,48,51400,7,60757,46,50,41,0
175,2021,3,2,18,174000,16,174000,55,100,48,0
176,2021,2,2,22,58000,12,2859,37,0,34,2
177,2021,2,2,22,30400000,4,40038,10,100,8,0
178,2021,0,2,38,81000,16,81000,55,50,48,2
179,2021,2,2,22,420000,10,5679,27,100,48,2
180,2021,2,2,7,1672000,10,22611,27,0,25,0
181,2021,2,2,22,76760,7,90734,14,50,12,0
182,2021,2,2,17,22000,7,26005,47,0,48,0
183,2021,3,2,27,45000,8,61896,20,50,18,0
184,2021,2,1,41,12000,16,12000,43,50,39,1
185,2021,2,2,17,4000,16,4000,29,100,27,1
186,2021,3,2,13,50000,16,50000,56,100,18,1
187,2021,1,2,19,59000,7,69741,19,100,16,2
188,2021,3,2,17,65000,7,76833,47,50,18,2
189,2021,2,2,38,74000,16,74000,32,50,29,2
190,2021,3,2,21,152000,16,152000,55,100,17,0
191,2021,0,2,38,21844,16,21844,12,50,10,1
192,2021,2,2,7,18000,16,18000,35,0,32,2
193,2021,3,2,21,174000,16,174000,55,100,48,0
194,2021,3,2,48,120500,2,96113,8,50,6,0
195,2021,2,2,22,147000,16,147000,55,50,48,0
196,2021,0,2,5,9272,16,9272,33,100,30,2
197,2021,3,2,38,1799997,10,24342,27,100,25,0
198,2021,3,2,21,4000000,10,54094,27,50,48,0
199,2021,0,2,19,90000,16,90000,55,100,48,2
200,2021,2,2,22,52000,7,61467,14,50,2,1
201,2021,3,2,39,195000,16,195000,55,100,48,1
202,2021,2,2,22,32000,7,37825,18,100,16,0
203,2021,3,2,48,50000,16,50000,19,100,48,2
204,2021,2,2,22,160000,16,160000,55,100,48,0
205,2021,2,2,22,69600,1,12901,7,0,5,2
206,2021,3,2,38,200000,16,200000,55,100,48,0
207,2021,3,2,17,165000,16,165000,55,0,48,1
208,2021,2,1,17,20000,16,20000,30,0,48,0
209,2021,3,2,15,120000,16,120000,55,0,48,0
210,2021,2,2,38,21000,7,24823,51,50,45,0
211,2021,2,2,48,48000,7,56738,19,50,17,2
212,2021,2,2,17,48000,8,66022,22,50,18,2
213,2021,0,2,7,435000,10,5882,27,0,7,0
214,2021,0,2,38,21000,7,24823,14,50,12,1
215,2021,3,2,45,185000,16,185000,55,100,48,0
216,2021,0,3,10,180000,6,28609,15,50,13,2
217,2021,2,2,22,76760,7,90734,14,50,12,0
218,2021,2,2,38,75000,7,88654,4,100,4,1
219,2021,3,2,15,140000,16,140000,55,100,48,0
220,2021,2,2,38,180000,13,46597,44,100,40,0
221,2021,2,2,22,85000,8,116914,20,50,18,0
222,2021,2,2,22,2500000,10,33808,27,0,25,1
