Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size
172,2021,0,2,12,60000,16,55,100,48,2
596,2022,3,2,22,210000,16,55,100,48,1
56,2020,2,2,22,34000,7,18,100,16,1
302,2022,3,2,22,146000,16,55,100,48,1
446,2022,3,2,17,209100,16,55,100,48,0
457,2022,3,2,35,80000,7,14,0,12,1
362,2022,3,2,12,130000,16,8,100,6,1
582,2022,3,2,17,220110,16,55,100,48,1
49,2020,2,2,17,61500,7,19,50,17,0
405,2022,2,2,17,75000,8,20,0,18,1
25,2020,1,2,25,325000,16,55,100,48,0
449,2022,0,2,36,20000,7,46,100,41,0
220,2021,2,2,38,180000,13,44,100,40,0
350,2022,3,2,21,161342,16,55,100,48,1
298,2022,3,2,22,136620,16,55,100,48,1
42,2020,2,2,39,44000,7,46,0,41,1
422,2022,2,2,21,159000,16,55,100,48,1
525,2022,3,2,3,177000,16,55,100,48,0
375,2022,1,2,33,150000,2,8,100,6,2
278,2021,3,2,22,180000,15,53,50,46,0
383,2022,3,2,12,93700,16,55,100,48,1
402,2022,3,2,12,115934,16,55,0,48,1
507,2022,2,2,48,59000,7,2,0,2,0
154,2021,3,2,21,144000,16,55,100,48,0
126,2021,3,2,41,120000,16,55,50,48,2
312,2022,2,2,22,30000,8,20,0,18,1
346,2022,3,2,17,108800,16,55,0,48,1
452,2022,1,2,25,250000,2,8,50,6,0
174,2021,3,2,48,51400,7,46,50,41,0
31,2020,0,2,7,70000,16,55,100,48,0
113,2021,0,3,1,12000,16,43,100,48,1
23,2020,2,2,5,98000,16,55,0,48,1
173,2021,3,2,46,235000,16,55,100,48,0
318,2022,3,2,12,90320,16,55,100,48,1
66,2020,0,2,22,43200,7,14,0,12,2
57,2020,2,2,22,118000,16,55,100,48,1
594,2022,3,2,15,150260,16,55,100,48,1
222,2021,2,2,22,2500000,10,27,0,25,1
17,2020,3,2,7,100000,7,44,100,18,2
300,2022,3,2,22,90000,8,20,0,18,1
255,2021,3,2,6,125000,2,8,50,6,1
352,2022,3,2,22,167000,16,55,100,48,1
580,2022,3,2,12,126500,16,55,100,48,1
190,2021,3,2,21,152000,16,55,100,17,0
